iter	Passed	Remaining
554	28392	22764
555	28444	22714
556	28487	22657
557	28546	22612
558	28605	22567
559	28656	22516
560	28709	22465
561	28765	22418
562	28813	22364
563	28857	22308
564	28902	22252
565	28945	22195
566	29002	22148
567	29047	22092
568	29096	22039
569	29152	21992
570	29206	21942
571	29256	21891
572	29307	21839
573	29362	21791
574	29417	21743
575	29454	21681
576	29502	21628
577	29551	21575
578	29593	21517
579	29643	21465
580	29685	21408
581	29729	21352
582	29784	21304
583	29838	21255
584	29886	21201
585	29933	21147
586	29981	21094
587	30033	21043
588	30080	20990
589	30135	20941
590	30184	20889
591	30236	20838
592	30275	20779
593	30323	20726
594	30371	20672
595	30422	20621
596	30467	20566
597	30525	20520
598	30574	20468
599	30646	20430
600	30696	20378
601	30747	20328
602	30802	20279
603	30851	20227
604	30896	20172
605	30941	20117
606	30989	20063
607	31036	20010
608	31080	19954
609	31124	19899
610	31168	19843
611	31210	19786
612	31258	19734
613	31303	19679
614	31353	19628
615	31396	19572
616	31443	19518
617	31484	19461
618	31535	19410
619	31580	19356
620	31631	19305
621	31685	19255
622	31739	19206
623	31788	19154
624	31824	19094
625	31874	19043
626	31920	18989
627	31973	18939
628	32027	18890
629	32078	18839
630	32123	18785
631	32177	18736
632	32232	18687
633	32283	18636
634	32326	18581
635	32378	18530
636	32428	18479
637	32475	18426
638	32527	18376
639	32580	18326
640	32634	18277
641	32690	18229
642	32735	18175
643	32793	18128
644	32847	18078
645	32892	18024
646	32941	17972
647	33000	17926
648	33053	17876
649	33099	17822
650	33156	17775
651	33206	17723
652	33250	17668
653	33301	17618
654	33343	17562
655	33394	17511
656	33445	17460
657	33492	17408
658	33545	17358
659	33583	17300
660	33629	17247
661	33675	17193
662	33727	17143
663	33782	17094
664	33830	17042
665	33879	16990
666	33937	16943
667	33987	16892
668	34039	16841
669	34082	16786
670	34133	16736
671	34181	16684
672	34234	16633
673	34284	16582
674	34329	16528
675	34377	16476
676	34422	16423
677	34468	16369
678	34522	16320
679	34574	16270
680	34620	16217
681	34676	16168
682	34726	16117
683	34781	16068
684	34837	16020
685	34894	15972
686	34947	15922
687	35001	15872
688	35049	15820
689	35105	15771
690	35159	15722
691	35213	15673
692	35267	15623
693	35321	15574
694	35370	15522
695	35422	15472
696	35476	15422
697	35508	15363
698	35557	15311
699	35596	15255
700	35647	15204
701	35696	15153
702	35746	15101
703	35793	15049
704	35844	14998
705	35897	14948
706	35940	14894
707	35987	14842
708	36042	14793
709	36085	14739
710	36136	14688
711	36184	14636
712	36239	14587
713	36288	14535
714	36338	14484
715	36384	14431
716	36430	14379
717	36473	14325
718	36522	14273
719	36551	14214
720	36606	14165
721	36659	14115
722	36707	14063
723	36757	14012
724	36810	13962
725	36860	13911
726	36905	13858
727	36948	13805
728	37002	13755
729	37056	13706
730	37110	13656
731	37159	13604
732	37211	13554
733	37268	13506
